county,year,salary_avg,sal_avg_z,sal_type
Hancock County,2014,28.153256302521,-1.5,below
Lake County,2014,29.00145833333335,-1.39,below
Pickett County,2014,32.26153846153845,-0.96,below
Cocke County,2014,32.29846849426337,-0.95,below
Van Buren County,2014,32.3308943089431,-0.95,below
Cumberland County,2014,32.79574417776058,-0.89,below
Haywood County,2014,32.7570452365729,-0.89,below
Clay County,2014,32.9123615418697,-0.87,below
Grundy County,2014,32.950281013177424,-0.87,below
Carter County,2014,33.13567014017433,-0.84,below
Macon County,2014,33.27697932152995,-0.83,below
Lauderdale County,2014,33.29667832466428,-0.82,below
Scott County,2014,33.42190160485762,-0.81,below
Fentress County,2014,33.5383910902892,-0.79,below
Sevier County,2014,33.883895946909064,-0.75,below
Campbell County,2014,34.33923388174865,-0.69,below
Hardeman County,2014,34.28702350595086,-0.69,below
Jackson County,2014,34.30178657945737,-0.69,below
Lewis County,2014,34.3139318885449,-0.69,below
Weakley County,2014,34.323545952564444,-0.69,below
Perry County,2014,34.8108546533185,-0.62,below
White County,2014,34.81936208538657,-0.62,below
Claiborne County,2014,34.8831777112258,-0.61,below
Henry County,2014,34.925738028071116,-0.61,below
Overton County,2014,35.167009034581255,-0.58,below
Obion County,2014,35.46344590782542,-0.54,below
Benton County,2014,35.6991126240857,-0.51,below
Polk County,2014,35.74012609210117,-0.5,below
Union County,2014,35.7937978020485,-0.49,below
Marion County,2014,35.861767771555286,-0.48,below
Trousdale County,2014,36.0023166023166,-0.47,below
Johnson County,2014,36.13730968280156,-0.45,below
DeKalb County,2014,36.192143750993175,-0.44,below
Greene County,2014,36.26490057931547,-0.43,below
Hardin County,2014,36.36678098382753,-0.42,below
Grainger County,2014,36.46108699060865,-0.4,below
Houston County,2014,36.5056026936027,-0.4,below
Wayne County,2014,36.512681492526355,-0.4,below
Bledsoe County,2014,36.5442379182156,-0.39,below
Hawkins County,2014,36.7464264022549,-0.37,below
Decatur County,2014,36.81537645361175,-0.36,below
Chester County,2014,36.95907246892825,-0.34,below
Henderson County,2014,36.92907170270143,-0.34,below
Morgan County,2014,36.93824386305524,-0.34,below
Warren County,2014,37.11813501144164,-0.32,below
McNairy County,2014,37.17709111280406,-0.31,below
Lawrence County,2014,37.55089381839659,-0.26,below
Crockett County,2014,37.81450644499695,-0.23,below
Hickman County,2014,37.80446205033234,-0.23,below
Putnam County,2014,38.05268590418424,-0.19,below
Jefferson County,2014,38.369296677608,-0.15,below
Hamblen County,2014,38.650415782103416,-0.12,below
Sequatchie County,2014,38.6756613756614,-0.11,below
Dyer County,2014,38.734609361352774,-0.1,below
Stewart County,2014,38.83841932033656,-0.09,below
Unicoi County,2014,39.1010990789146,-0.06,below
Marshall County,2014,39.12915469462087,-0.05,below
Rhea County,2014,39.23806141394266,-0.04,below
McMinn County,2014,39.3475318513319,-0.02,below
Franklin County,2014,39.506360740352015,-0,above
Smith County,2014,39.50331554088992,-0,above
Giles County,2014,39.9187438370518,0.05,above
Monroe County,2014,40.89270307921012,0.18,above
Bedford County,2014,41.23548488140075,0.23,above
Anderson County,2014,41.332401680392714,0.24,above
Maury County,2014,41.66827934559673,0.28,above
Cannon County,2014,41.83889610096912,0.31,above
Coffee County,2014,42.538307252426016,0.4,above
Roane County,2014,42.573172355584575,0.4,above
Lincoln County,2014,42.75935937152242,0.43,above
Humphreys County,2014,42.87048013079367,0.44,above
Montgomery County,2014,42.937924234579675,0.45,above
Dickson County,2014,43.55205883507535,0.53,above
Blount County,2014,43.61349221685967,0.54,above
Tipton County,2014,43.693015520844156,0.55,above
Bradley County,2014,43.99639925364462,0.59,above
Meigs County,2014,44.03704877112135,0.6,above
Washington County,2014,44.37662883502936,0.64,above
Robertson County,2014,44.4341236062048,0.65,above
Sullivan County,2014,44.63122624065599,0.68,above
Loudon County,2014,45.74428189524938,0.82,above
Moore County,2014,46.715652173913,0.95,above
Sumner County,2014,46.806044668441245,0.96,above
Cheatham County,2014,48.88379654170496,1.24,above
Knox County,2014,49.81159111232862,1.36,above
Wilson County,2014,50.63989610698718,1.47,above
Rutherford County,2014,50.86597461798475,1.5,above
Shelby County,2014,51.22210250177673,1.55,above
Hamilton County,2014,51.41005672828052,1.57,above
Davidson County,2014,58.54443149359401,2.51,above
Fayette County,2014,61.65689304981861,2.93,above
Williamson County,2014,84.09696955229131,5.89,above
